[2023-11-01 10:58:12.365] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.365] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.365] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.365] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.365] $GPGLL,,,,,000106.870,V,N*72
[2023-11-01 10:58:12.365] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.365] $GPRMC,000107.870,V,,,,,0.00,0.00,060180,,,N,V*31
[2023-11-01 10:58:12.365] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.365] $GPGGA,000107.870,,,,,0,0,,,M,,M,,*41
[2023-11-01 10:58:12.365] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.365] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.365] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.365] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.365] $GPGLL,,,,,000107.870,V,N*73
[2023-11-01 10:58:12.365] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.365] $GPRMC,000108.870,V,,,,,0.00,0.00,060180,,,N,V*3E
[2023-11-01 10:58:12.365] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.365] $GPGGA,000108.870,,,,,0,0,,,M,,M,,*4E
[2023-11-01 10:58:12.365] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.365] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.365] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.365] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.365] $GPGLL,,,,,000108.870,V,N*7C
[2023-11-01 10:58:12.365] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.365] $GPRMC,000109.870,V,,,,,0.00,0.00,060180,,,N,V*3F
[2023-11-01 10:58:12.365] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.365] $GPGGA,000109.870,,,,,0,0,,,M,,M,,*4F
[2023-11-01 10:58:12.365] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.365] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.365] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.365] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.365] $GPGLL,,,,,000109.870,V,N*7D
[2023-11-01 10:58:12.365] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.700] $GPRMC,000110.870,V,,,,,0.00,0.00,060180,,,N,V*37
[2023-11-01 10:58:12.755] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.791] $GPGGA,000110.870,,,,,0,0,,,M,,M,,*47
[2023-11-01 10:58:12.828] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.869] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.901] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.918] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.946] $GPGLL,,,,,000110.870,V,N*75
[2023-11-01 10:58:12.971] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:13.695] $GPRMC,000111.870,V,,,,,0.00,0.00,060180,,,N,V*36
[2023-11-01 10:58:13.742] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:13.799] $GPGGA,000111.870,,,,,0,0,,,M,,M,,*46
[2023-11-01 10:58:13.832] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:13.867] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:13.892] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:13.919] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:13.939] $GPGLL,,,,,000111.870,V,N*74
[2023-11-01 10:58:13.970] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:14.702] $GPRMC,000112.870,V,,,,,0.00,0.00,060180,,,N,V*35
[2023-11-01 10:58:14.754] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:14.785] $GPGGA,000112.870,,,,,0,0,,,M,,M,,*45
[2023-11-01 10:58:14.835] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:14.863] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:14.898] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:14.918] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:14.931] $GPGLL,,,,,000112.870,V,N*77
[2023-11-01 10:58:14.967] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:15.698] $GPRMC,000113.870,V,,,,,0.00,0.00,060180,,,N,V*34
[2023-11-01 10:58:15.752] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:15.793] $GPGGA,000113.870,,,,,0,0,,,M,,M,,*44
