[2023-11-02 19:31:51.106] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.106] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.106] $GPGSV,3,1,09,12,83,052,,24,37,160,,06,34,072,22,11,31,116,,0*64
[2023-11-02 19:31:51.106] $GPGSV,3,2,09,32,31,285,39,19,18,049,41,29,16,215,,28,13,313,36,0*64
[2023-11-02 19:31:51.106] $GPGSV,3,3,09,03,05,003,,0*59
[2023-11-02 19:31:51.106] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.106] $GPGLL,,,,,183125.091,V,N*7E
[2023-11-02 19:31:51.106] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.106] $GPRMC,183126.091,V,,,,,0.08,0.00,021123,,,N,V*3B
[2023-11-02 19:31:51.106] $GPVTG,0.00,T,,M,0.08,N,0.14,K,N*3F
[2023-11-02 19:31:51.106] $GPGGA,183126.091,,,,,0,0,,,M,,M,,*4F
[2023-11-02 19:31:51.106] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.122] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.122] $GPGSV,3,1,09,12,83,052,,24,37,160,,06,34,072,24,11,31,116,,0*62
[2023-11-02 19:31:51.122] $GPGSV,3,2,09,32,31,285,39,19,18,049,41,29,16,215,,28,13,313,36,0*64
[2023-11-02 19:31:51.122] $GPGSV,3,3,09,03,05,003,,0*59
[2023-11-02 19:31:51.122] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.122] $GPGLL,,,,,183126.091,V,N*7D
[2023-11-02 19:31:51.122] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.122] $GPRMC,183127.091,V,,,,,0.19,0.00,021123,,,N,V*3A
[2023-11-02 19:31:51.122] $GPVTG,0.00,T,,M,0.19,N,0.36,K,N*3F
[2023-11-02 19:31:51.122] $GPGGA,183127.091,,,,,0,0,,,M,,M,,*4E
[2023-11-02 19:31:51.122] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
